scope,level,category_id,recent_count,recent_total,recent_rate_pct,baseline_count,baseline_total,baseline_rate_pct,pp_delta,ratio,verdict,flagged_spike,flagged_decline,emerging
combined_overlap,subcategory,battery_life,11,591,1.861,13,735,1.769,0.093,1.05,stable,False,False,False
combined_overlap,subcategory,billing_disputes,37,591,6.261,70,735,9.524,-3.263,0.66,decline,False,True,False
combined_overlap,subcategory,build_quality_perception,5,591,0.846,13,735,1.769,-0.923,0.48,stable,False,False,False
combined_overlap,subcategory,cardiac_detection_trust,1,591,0.169,0,735,0.0,0.169,,insufficient_recent_occurrences,False,False,False
combined_overlap,subcategory,comfort_fit,15,591,2.538,12,735,1.633,0.905,1.55,stable,False,False,False
combined_overlap,subcategory,crashes_freezes,30,591,5.076,66,735,8.98,-3.903,0.57,decline,False,True,False
combined_overlap,subcategory,data_sync_delays,22,591,3.723,41,735,5.578,-1.856,0.67,stable,False,False,False
combined_overlap,subcategory,device_rendering_bugs,4,591,0.677,9,735,1.224,-0.548,0.55,insufficient_recent_occurrences,False,False,False
combined_overlap,subcategory,ecg_bp_feature_reliability,9,591,1.523,18,735,2.449,-0.926,0.62,stable,False,False,False
combined_overlap,subcategory,english_jargon_complexity,2,591,0.338,2,735,0.272,0.066,1.24,insufficient_recent_occurrences,False,False,False
combined_overlap,subcategory,feature_ui_friction,30,591,5.076,43,735,5.85,-0.774,0.87,stable,False,False,False
combined_overlap,subcategory,metric_accuracy,54,591,9.137,71,735,9.66,-0.523,0.95,stable,False,False,False
combined_overlap,subcategory,missing_activity_types,11,591,1.861,18,735,2.449,-0.588,0.76,stable,False,False,False
combined_overlap,subcategory,missing_language_support,15,591,2.538,15,735,2.041,0.497,1.24,stable,False,False,False
combined_overlap,subcategory,missing_metrics,34,591,5.753,23,735,3.129,2.624,1.84,spike,True,False,False
combined_overlap,subcategory,notification_community_issues,15,591,2.538,29,735,3.946,-1.408,0.64,stable,False,False,False
combined_overlap,subcategory,onboarding_pairing,5,591,0.846,9,735,1.224,-0.378,0.69,stable,False,False,False
combined_overlap,subcategory,ongoing_disconnects,10,591,1.692,17,735,2.313,-0.621,0.73,stable,False,False,False
combined_overlap,subcategory,personalization_use_case_fit,35,591,5.922,27,735,3.673,2.249,1.61,spike,True,False,False
combined_overlap,subcategory,plan_trial_structure,7,591,1.184,19,735,2.585,-1.401,0.46,stable,False,False,False
combined_overlap,subcategory,price_value_perception,99,591,16.751,122,735,16.599,0.153,1.01,stable,False,False,False
combined_overlap,subcategory,redesign_regression,23,591,3.892,30,735,4.082,-0.19,0.95,stable,False,False,False
combined_overlap,subcategory,sleep_accuracy,30,591,5.076,42,735,5.714,-0.638,0.89,stable,False,False,False
combined_overlap,subcategory,sleep_alarm_ui,1,591,0.169,12,735,1.633,-1.463,0.1,insufficient_recent_occurrences,False,False,False
combined_overlap,subcategory,sleep_satisfaction,64,591,10.829,42,735,5.714,5.115,1.9,spike,True,False,False
combined_overlap,subcategory,strap_clasp_durability,3,591,0.508,8,735,1.088,-0.581,0.47,insufficient_recent_occurrences,False,False,False
combined_overlap,subcategory,support_resolution_quality,30,591,5.076,52,735,7.075,-1.999,0.72,stable,False,False,False
combined_overlap,subcategory,support_responsiveness,17,591,2.876,32,735,4.354,-1.477,0.66,stable,False,False,False
combined_overlap,subcategory,support_satisfaction,3,591,0.508,4,735,0.544,-0.037,0.93,insufficient_recent_occurrences,False,False,False
combined_overlap,subcategory,third_party_integration,15,591,2.538,19,735,2.585,-0.047,0.98,stable,False,False,False
combined_overlap,subcategory,update_failures,9,591,1.523,24,735,3.265,-1.742,0.47,stable,False,False,False
combined_overlap,subcategory,upsell_pressure,12,591,2.03,23,735,3.129,-1.099,0.65,stable,False,False,False
