period,period_type,period_start,period_end,source,category_id,tag_count,total_reviews,rate_pct,adequate_volume,is_current_partial,in_recent_window,scope,rolling_baseline_rate_pct,flagged_spike,flagged_decline,verdict
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,missing_metrics,3,33,9.091,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,notification_community_issues,0,33,0.0,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,onboarding_pairing,3,33,9.091,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,ongoing_disconnects,4,33,12.121,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,personalization_use_case_fit,1,33,3.03,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,plan_trial_structure,0,33,0.0,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,price_value_perception,5,33,15.152,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,redesign_regression,0,33,0.0,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,sleep_accuracy,3,33,9.091,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,sleep_alarm_ui,0,33,0.0,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,sleep_satisfaction,1,33,3.03,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,strap_clasp_durability,0,33,0.0,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,support_resolution_quality,1,33,3.03,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,support_responsiveness,1,33,3.03,True,False,False,google_play,,False,False,
